,brand,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,pixel,Loudspeaker,3.5mm jack,Chipset,RAM,Storage,Micro-SIM,Mini-SIM,Nano-SIM,eSIM,ratio_1,ratio_2
1397,11,True,False,False,2014,120.0,118.0,62.4,12.0,7,4.0,233.0,61.8,0,1700.0,140.0,2.0,384000.0,True,True,6,0.5,4.0,False,True,False,False,5.0,3.0
1633,12,True,True,True,2024,181.0,161.2,74.3,8.0,0,6.67,446.0,89.7,0,5100.0,289.0,8.0,3308640.0,False,True,6,8.0,256.0,False,False,True,False,20.0,9.0
847,7,True,True,False,2020,420.0,241.5,149.4,8.3,1,10.1,149.0,82.0,0,5000.0,170.0,8.0,1024000.0,False,True,4,2.0,32.0,False,False,True,False,16.0,10.0
1206,9,True,True,True,2022,185.0,158.9,73.9,8.0,0,6.43,409.0,85.0,0,4200.0,234.88,8.0,2592000.0,True,False,6,6.0,128.0,False,False,False,True,20.0,9.0
1851,12,True,True,False,2018,182.0,155.5,75.3,8.8,1,6.18,403.0,82.2,0,4000.0,360.0,8.0,2425680.0,False,True,6,6.0,64.0,False,False,True,False,7.0,9.0
110,1,True,True,False,2019,456.0,250.6,174.1,6.1,1,10.5,265.0,78.3,2,8134.0,550.0,6.0,3709632.0,False,True,0,3.0,64.0,False,False,False,True,4.0,3.0
42,0,True,True,False,2015,140.0,145.8,70.4,9.0,1,5.0,294.0,67.1,0,3000.0,230.0,8.0,921600.0,True,True,4,2.0,16.0,True,False,False,False,16.0,9.0
125,1,True,True,False,2016,437.0,240.0,169.5,6.1,1,9.7,264.0,71.6,2,7306.0,690.0,2.0,3145728.0,False,True,0,2.0,32.0,False,False,False,True,4.0,3.0
204,2,True,False,False,2016,125.0,136.5,66.7,11.2,1,4.5,218.0,61.3,0,2070.0,90.0,4.0,409920.0,True,True,6,1.0,8.0,True,False,False,False,16.0,9.0
1473,13,True,True,False,2021,180.0,165.2,75.2,8.2,1,6.52,269.0,82.6,0,4000.0,90.0,8.0,1152000.0,True,True,7,3.0,64.0,False,False,True,False,20.0,9.0
52,0,True,False,False,2015,98.0,112.2,62.0,11.9,7,3.5,165.0,52.4,1,1300.0,40.0,2.0,153600.0,True,True,4,0.25,0.5,False,True,False,False,3.0,2.0
545,5,True,True,False,2022,168.0,162.2,73.9,6.9,3,6.67,395.0,89.6,1,4000.0,500.0,8.0,2592000.0,False,False,6,6.0,128.0,False,False,True,False,20.0,9.0
68,0,True,False,False,2013,108.0,115.0,62.3,12.2,7,3.5,165.0,50.9,1,1400.0,120.0,5.847807757166947,153600.0,True,True,6,0.25,0.15625,False,True,False,False,3.0,2.0
2315,10,True,True,False,2011,130.5,129.8,68.8,9.5,6,4.65,316.0,66.7,0,1850.0,180.0,2.0,921600.0,True,True,6,1.0,16.0,True,False,False,False,16.0,9.0
2075,10,True,True,False,2019,165.0,158.5,74.7,7.7,6,6.4,403.0,84.9,0,4000.0,110.0,8.0,2527200.0,True,True,1,3.0,32.0,False,False,True,False,5.0,9.0
1666,12,True,True,True,2022,201.0,162.8,75.4,8.6,3,6.67,526.0,87.5,0,5000.0,460.0,8.0,4608000.0,False,False,6,8.0,128.0,False,False,True,False,20.0,9.0
1424,11,True,False,False,2012,147.0,126.0,66.0,11.9,2,4.3,342.0,61.3,0,1910.0,230.0,2.0,921600.0,True,True,6,1.0,16.0,False,True,False,False,16.0,9.0
183,2,True,True,False,2017,181.0,154.0,76.9,8.9,1,5.5,267.0,70.4,0,5000.0,220.0,4.0,921600.0,True,True,6,3.0,32.0,False,False,True,False,16.0,9.0
137,1,True,True,False,2013,112.0,123.8,58.6,7.6,1,4.0,326.0,60.8,2,1560.0,330.0,2.0,727040.0,True,True,0,1.0,16.0,False,False,True,False,16.0,9.0
