year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2023,nova 11,Huawei,8,HarmonyOS,3.0,"[('128', '8'), ('256', '8'), ('512', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'compass', 'color spectrum']",161.3 x 75 x 6.9,168,Nano-SIM,6.7,91.4,1084 x 2412,391,,4500
2023,Mate X3,Huawei,8,HarmonyOS,3.1,"[('256', '12'), ('512', '12'), ('1', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'altimeter', 'color spectrum']",Unfolded: 156.9 x 141.5 x 5.3,239,Nano-SIM,7.85,88.9,2224 x 2496,426,2499.00,4800
2023,P60 Pro,Huawei,8,HarmonyOS,3.1,"[('256', '8'), ('256', '12'), ('512', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",161 x 74.5 x 8.3,200,Nano-SIM,6.67,89.8,1220 x 2700,444,1226.33,4815
2023,P60,Huawei,8,HarmonyOS,3.1,"[('128', '8'), ('256', '8'), ('512', '8')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",161 x 74.5 x 8.3,197,Nano-SIM,6.67,89.8,1220 x 2700,444,600,4815
2023,P60 Art,Huawei,8,HarmonyOS,3.1,"[('512', '12'), ('1', '12')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'color spectrum']",161 x 74.5 x 8.3,206,Nano-SIM,6.67,89.8,1220 x 2700,444,1200,5100
2023,Enjoy 60,Huawei,,HarmonyOS,3.0,"[('128',), ('256',)]",111,"['Fingerprint', 'accelerometer', 'compass']",168.3 x 77.7 x 9,199,Nano-SIM,6.75,84.1,720 x 1600,260,170,6000
2023,Watch Ultimate,Huawei,,HarmonyOS,3.0,,111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2', 'thermometer']",48.5 x 48.5 x 13,76,,1.5,,466 x 466,311,,530
2023,MatePad 11 (2023),Huawei,8,HarmonyOS,3.1,"[('128', '6'), ('128', '8'), ('256', '8')]",111,['Accelerometer'],253.7 x 165.3 x 7.2,480,,11.0,83.1,2560 x 1600,275,300,7250
2023,nova 10 Youth,Huawei,8,HarmonyOS,2.0,"[('128', '8'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",164.6 x 75.6 x 7.9,191,Nano-SIM,6.78,89.5,1080 x 2388,387,230,4000
2022,Watch Buds,Huawei,,HarmonyOS,3.0,,111,"['Accelerometer', 'gyro', 'heart rate', 'SpO2']",47 x 47.5 x 15,66.5,,1.43,,466 x 466,326,400,410
2022,Enjoy 50z,Huawei,8,HarmonyOS,2.0,"[('128', '6'), ('128', '8'), ('256', '6'), ('256', '8')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",164.3 x 75.8 x 8.9,188,Nano-SIM,6.52,82.4,720 x 1600,269,150,5000
2022,Watch GT 3 SE,Huawei,,HarmonyOS,2.0,,111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2']",46.4 x 46.4 x 11,35.6,,1.43,,466 x 466,326,200,
2022,Pocket S,Huawei,8,HarmonyOS,3.0,"[('128', '8'), ('256', '8'), ('512', '8')]",111,"['Fingerprint', 'gyro', 'accelerometer', 'proximity', 'compass', 'barometer', 'color spectrum']",Unfolded: 170 x 75.5 x 7.2,190,Nano-SIM,6.9,85.1,1188 x 2790,442,830,4000
2022,Watch GT Cyber,Huawei,,HarmonyOS,2.0,,111,"['Accelerometer', 'gyro', 'heart rate', 'barometer', 'compass', 'SpO2']",47.4 x 44.4 x 10.2,58 / 59 / 77,,1.32,,466 x 466,352,180,292
