year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,size,screen_to_body_ratio,resolution,ppi_density,price,battery,sim
2012,C199,LG,,,,"[('78.4',)]",001,[''],109.4 x 59.8 x 12.5,92,2.3,25.0,240 x 320,174,70,1100,Mini-SIM
2011,Optimus Big LU6800,LG,1.0,Android,2.2,"[('16',)]",011,"['Accelerometer', 'proximity', 'compass']",132 x 67.3 x 10.1,151,4.3,59.2,480 x 800,217,210,1500,Mini-SIM
2011,US760 Genesis,LG,1.0,Android,2.2,"[('430',)]",011,['Accelerometer'],120 x 62 x 17,170,3.5,46.9,480 x 800,267,100,1500,Mini-SIM
2011,A140,LG,,,,"[('10',)]",001,[''],109.5 x 47 x 11.6,80,1.7,17.7,128 x 160,121,40,670,Mini-SIM
2011,Revolution,LG,1.0,Android,2.2,"[('16',)]",111,"['Accelerometer', 'proximity', 'compass']",128 x 67 x 13.2,172,4.3,61.4,480 x 800,217,80,1500,Mini-SIM
2010,C310,LG,,,,"[('15',)]",001,['Accelerometer'],116 x 61.9 x 11.9,92.5,2.4,24.8,240 x 320,167,70,1250,Mini-SIM
2010,Octane,LG,,,,,011,[''],107 x 55 x 16,128,2.6,35.6,320 x 240,154,60,,Mini-SIM
2010,GD350,LG,,,,"[('512',)]",001,[''],95.5 x 48 x 15.9,94,2.0,27.5,176 x 220,141,70,800,Mini-SIM
2010,GW990,LG,,MeeGo,OS,"[('512', 'RA')]",011,['Accelerometer'],146.8 x 64.2 x 12,-,4.8,60.6,480 x 1024,236,,1850,Mini-SIM
2023,C12 Plus,Nokia,8,Android,12,"[('32', '2')]",111,"['Accelerometer', 'proximity']",-,-,6.3,83.0,720 x 1520,267,90,4000,Nano-SIM
2022,8210 4G,Nokia,1.0,,,"[('128', '48')]",111,[''],131.3 x 56.2 x 13.8,107,2.8,32.9,240 x 320,143,57.80,1450,Nano-SIM
2022,C21 Plus,Nokia,8,Android,11,"[('32', '2'), ('32', '3'), ('64', '2'), ('64', '3'), ('64', '4')]",111,"['Fingerprint', 'accelerometer', 'proximity']",164.8 x 75.9 x 8.6,178,6.52,82.1,720 x 1600,269,109.22,4000,Nano-SIM
2022,105 (2022),Nokia,,,,"[('4',), ('4', 'RA')]",001,[''],115.2 x 49.9 x 14.3,70,1.77,16.9,120 x 160,113,20,800,Mini-SIM
2021,T20,Nokia,8,Android,11,"[('32', '3'), ('64', '4')]",111,['Accelerometer'],247.6 x 157.5 x 7.8,465,10.4,78.9,1200 x 2000,224,200,8200,Nano-SIM
