year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2017,Galaxy A5 (2017),Samsung,8,Android,6.0.1,"[('32', '3'), ('64', '3')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",146.1 x 71.4 x 7.9,157,Nano-SIM,5.2,71.5,1080 x 1920,424,190,3000
2017,Galaxy A3 (2017),Samsung,8,Android,6.0.1,"[('16', '2')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",135.4 x 66.2 x 7.9,138,Nano-SIM,4.7,67.9,720 x 1280,312,220,2350
2016,Galaxy Grand Prime Plus,Samsung,4,Android,6.0,"[('8', '1.5'), ('16', '1.5')]",111,"['Accelerometer', 'proximity']",144.8 x 72.1 x 8.9,160,Micro-SIM,5.0,66.0,540 x 960,220,140,2600
2016,Galaxy J2 Prime,Samsung,4,Android,6.0,"[('8', '1.5'), ('16', '1.5')]",111,"['Accelerometer', 'proximity']",144.8 x 72.1 x 8.9,160,Micro-SIM,5.0,66.0,540 x 960,220,130,2600
2016,Galaxy C9 Pro,Samsung,8,Android,6.0.1,"[('64', '6')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",162.9 x 80.7 x 6.9,189,Nano-SIM,6.0,75.5,1080 x 1920,367,380,4000
2016,Galaxy A8 (2016),Samsung,8,Android,6.0.1,"[('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity', 'compass']",156.6 x 76.8 x 7.2,182,Nano-SIM,5.7,74.5,1080 x 1920,386,300,3300
2016,Galaxy On8,Samsung,8,Android,6.0.1,"[('16', '3')]",111,"['Accelerometer', 'proximity']",151.7 x 76 x 7.8,169,Micro-SIM,5.5,72.3,1080 x 1920,401,200,3300
2016,Galaxy On7 (2016),Samsung,8,Android,6.0.1,"[('32', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",151.7 x 75 x 8,167,,5.5,73.3,1080 x 1920,401,200,3300
2016,Gear S3 classic,Samsung,2,Tizen,OS,"[('4', '768')]",001,"['Accelerometer', 'gyro', 'heart rate', 'barometer']",49 x 46 x 12.9,59,,1.3,,360 x 360,278,260,380
2016,Gear S3 frontier,Samsung,2,Tizen,OS,"[('4', '768')]",001,"['Accelerometer', 'gyro', 'heart rate', 'barometer']",49 x 46 x 12.9,63,,1.3,,360 x 360,278,210,380
2016,Gear S3 frontier LTE,Samsung,2,Tizen,OS,"[('4', '768')]",111,"['Accelerometer', 'gyro', 'heart rate', 'barometer']",49 x 46 x 12.9,63,,1.3,,360 x 360,278,300,380
2016,Galaxy J5 Prime,Samsung,4,Android,6.0.1,"[('16', '2'), ('32', '2')]",111,"['Fingerprint', 'accelerometer', 'proximity']",142.8 x 69.5 x 8.1,143,Nano-SIM,5.0,69.4,720 x 1280,294,120,2400
2016,Galaxy J7 Prime,Samsung,8,Android,6.0.1,"[('16', '3'), ('32', '3'), ('64', '3')]",111,"['Fingerprint', 'accelerometer', 'proximity']",151.7 x 75 x 8,167,Nano-SIM,5.5,73.3,1080 x 1920,401,210,3300
2016,Z2,Samsung,4,Tizen,2.4,"[('8', '1')]",111,['Accelerometer'],121.5 x 63 x 10.8,127,Micro-SIM,4.0,59.5,480 x 800,233,80,1500
2016,Galaxy Note7 (USA),Samsung,4,Android,6.0.1,"[('64', '4')]",111,"['Iris scanner', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'heart rate', 'SpO2']",153.5 x 73.9 x 7.9,169,Nano-SIM,5.7,79.0,1440 x 2560,515,760,3500
2016,Galaxy Note7,Samsung,8,Android,6.0.1,"[('64', '4')]",111,"['Iris scanner', 'fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'heart rate', 'SpO2']",153.5 x 73.9 x 7.9,169,Nano-SIM,5.7,78.0,1440 x 2560,518,850,3500
2016,Galaxy On7 Pro,Samsung,4,Android,6.0.1,"[('16', '2')]",111,"['Accelerometer', 'proximity']",152 x 78 x 8,172,Micro-SIM,5.5,70.3,720 x 1280,267,150,3000
2016,Galaxy On5 Pro,Samsung,4,Android,6.0,"[('16', '2')]",111,"['Accelerometer', 'proximity']",142.3 x 72.1 x 8.5,149,Micro-SIM,5.0,67.2,720 x 1280,294,120,2600
2016,Galaxy Tab J,Samsung,4,Android,5.1,"[('8', '1.5')]",111,['Accelerometer'],186.9 x 108.8 x 8.7,289,Micro-SIM,7.0,69.9,800 x 1280,216,,4000
2016,Galaxy J Max,Samsung,4,Android,5.1,"[('8', '1.5')]",111,['Accelerometer'],186.9 x 108.8 x 8.7,289,Nano-SIM,7.0,69.9,800 x 1280,216,150,4000
2016,Galaxy J2 Pro (2016),Samsung,4,Android,6.0.1,"[('16', '2')]",111,"['Accelerometer', 'proximity']",142.4 x 71.1 x 8,138,Micro-SIM,5.0,68.1,720 x 1280,294,140,2600
2016,Galaxy J2 (2016),Samsung,4,Android,6.0.1,"[('8', '1.5')]",111,"['Accelerometer', 'proximity']",142.4 x 71.1 x 8,138,Micro-SIM,5.0,68.1,720 x 1280,294,120,2600
2016,Z3 Corporate,Samsung,4,Tizen,2.4,"[('8', '1')]",111,"['Accelerometer', 'proximity']",141.5 x 69.9 x 7.9,-,Micro-SIM,5.0,69.7,720 x 1280,294,200,2600
2016,Galaxy Xcover 3 G389F,Samsung,4,Android,6.0,"[('8', '1.5')]",111,"['Accelerometer', 'proximity', 'compass']",132.9 x 70.1 x 10,154,Micro-SIM,4.5,61.9,480 x 800,207,200,2200
2016,Galaxy S7 active,Samsung,4,Android,6.0,"[('32', '4')]",111,"['Fingerprint', 'accelerometer', 'gyro', 'proximity', 'compass', 'barometer', 'heart rate', 'SpO2']",148.8 x 74.9 x 9.9,184.8,Nano-SIM,5.1,64.3,1440 x 2560,576,360,4000
2016,Galaxy J3 Pro,Samsung,4,Android,5.1,"[('16', '2')]",111,"['Accelerometer', 'proximity']",142.2 x 71.3 x 8,139,Micro-SIM,5.0,68.0,720 x 1280,294,130,2600
