year,name,brand,core,type,version,memory,network,sensor,dimensions,weight,sim,size,screen_to_body_ratio,resolution,ppi_density,price,battery
2014,SmartWatch 3 SWR50,Sony,4,Android,Wear,"[('4', '512')]",001,"['Accelerometer', 'gyro', 'compass']",51 x 36 x 10,76,,1.6,,320 x 320,283,160,420
2013,SmartWatch 2 SW2,Sony,,Android,OS,,001,['Yes'],42 x 41 x 9,122.5,,1.6,,220 x 176,176,80,225
2014,Xperia M2,Sony,4,Android,4.3,"[('8', '1')]",111,"['Accelerometer', 'proximity', 'compass']",139.7 x 71.1 x 8.6,148,Micro-SIM,4.8,63.9,540 x 960,229,170,2300
2014,Xperia M2 dual,Sony,4,Android,4.3,"[('8', '1')]",011,"['Accelerometer', 'proximity', 'compass']",139.7 x 71.1 x 8.6,148,Micro-SIM,4.8,63.9,540 x 960,229,180,2300
2014,Xperia Z2 Tablet LTE,Sony,4,Android,4.4.2,"[('16', '3')]",111,"['Accelerometer', 'gyro', 'compass']",266 x 172 x 6.4,439,Micro-SIM,10.1,64.7,1200 x 1920,224,350,6000
2014,Xperia Z2 Tablet Wi-Fi,Sony,4,Android,4.4.2,"[('16', '3'), ('32', '3')]",001,"['Accelerometer', 'gyro', 'compass']",266 x 172 x 6.4,426,,10.1,64.7,1200 x 1920,224,380,6000
2014,Xperia Z2,Sony,4,Android,4.4.2,"[('16', '3')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",146.8 x 73.3 x 8.2,163,Micro-SIM,5.2,69.3,1080 x 1920,424,260,3200
2014,Xperia E1 dual,Sony,2,Android,4.3,"[('4', '512')]",011,"['Accelerometer', 'proximity', 'compass']",118 x 62.4 x 12,122,Mini-SIM,4.0,61.8,480 x 800,233,120,1750
2014,Xperia E1,Sony,2,Android,4.3,"[('4', '512')]",011,"['Accelerometer', 'proximity', 'compass']",118 x 62.4 x 12,120,Mini-SIM,4.0,61.8,480 x 800,233,140,1700
2014,Xperia T2 Ultra dual,Sony,4,Android,4.3,"[('8', '1')]",011,"['Accelerometer', 'gyro', 'proximity', 'compass']",165.2 x 83.8 x 7.7,171.8,Micro-SIM,6.0,71.7,720 x 1280,245,280,3000
2014,Xperia T2 Ultra,Sony,4,Android,4.3,"[('8', '1')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",165.2 x 83.8 x 7.7,171.7,Micro-SIM,6.0,71.7,720 x 1280,245,230,3000
2014,Xperia Z1s,Sony,4,Android,4.3,"[('32', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",145.7 x 73.9 x 8.6,162,Micro-SIM,5.0,64.0,1080 x 1920,441,260,3000
2014,Xperia Z1 Compact,Sony,4,Android,4.3,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",127 x 64.9 x 9.5,137,Micro-SIM,4.3,61.8,720 x 1280,342,320,2300
2013,Xperia Z1,Sony,4,Android,4.2,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",144 x 74 x 8.5,170,Micro-SIM,5.0,64.7,1080 x 1920,441,330,3000
2013,Xperia Z Ultra,Sony,4,Android,4.2,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",179.4 x 92.2 x 6.5,212,Micro-SIM,6.4,68.3,1080 x 1920,344,280,3050
2013,Xperia C,Sony,4,Android,4.2.2,"[('4', '1')]",011,"['Accelerometer', 'proximity', 'compass']",141.5 x 74.2 x 8.9,153,Micro-SIM,5.0,65.6,540 x 960,220,220,2390
2013,Xperia M,Sony,2,Android,4.1,"[('4', '1')]",011,"['Accelerometer', 'proximity', 'compass']",124 x 62 x 9.3,115,Micro-SIM,4.0,57.3,480 x 854,245,130,1750
2013,Xperia ZR,Sony,4,Android,4.1.2,"[('8', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",131.3 x 67.3 x 10.5,138,Micro-SIM,4.55,64.6,720 x 1280,323,230,2300
2013,Xperia L,Sony,2,Android,4.1,"[('8', '(5.8'), ('1', 'RA')]",011,"['Accelerometer', 'proximity', 'compass']",128.7 x 65 x 9.7,137,Mini-SIM,4.3,60.9,480 x 854,228,130,1750
2013,Xperia SP,Sony,2,Android,4.1,"[('8', '(5.8'), ('1', 'RA')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",130.6 x 67.1 x 10,155,Micro-SIM,4.6,66.6,720 x 1280,319,180,2370
2013,Xperia Tablet Z Wi-Fi,Sony,4,Android,4.1.2,"[('16', '2'), ('32', '2')]",001,"['Accelerometer', 'gyro', 'compass']",266 x 172 x 6.9,495,,10.1,64.7,1200 x 1920,224,300,6000
2013,Xperia Tablet Z LTE,Sony,4,Android,4.1.2,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'compass']",266 x 172 x 6.9,495,Micro-SIM,10.1,64.7,1200 x 1920,224,350,6000
2013,Xperia Z,Sony,4,Android,4.1.2,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass']",139 x 71 x 7.9,146,Micro-SIM,5.0,69.8,1080 x 1920,441,270,2330
2013,Xperia ZL,Sony,4,Android,4.1.2,"[('16', '2')]",111,"['Accelerometer', 'gyro', 'proximity', 'compass', 'barometer']",131.6 x 69.3 x 9.8,151,Micro-SIM,5.0,75.6,1080 x 1920,441,260,2370
